mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.1511821746826172,0.0011452374342000226,0.0496977170308431,0.00978357897101578,,1,50,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.44896836734693885,-0.4597081632653065,-0.4323234693877554,-0.44700000000000023,0.011266061636649156,27
0.3166224956512451,0.00238115874293382,0.06001814206441244,0.007459902938924051,,1,100,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.4438852040816327,-0.4517561224489807,-0.4305566326530607,-0.442065986394558,0.008749733582479453,25
0.6073562304178873,0.025765795984405405,0.10034688313802083,0.008467550906251392,,1,200,"{'max_depth': None, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.4400193877551032,-0.45209056122449137,-0.4326739795918353,-0.4415946428571433,0.008004664558942155,24
0.1721811294555664,0.002535165018847992,0.04498171806335449,0.004004333355792782,,3,50,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.4361677535899477,-0.4613121929006366,-0.42139217298008097,-0.4396240398235551,0.016479511188358654,22
0.34490013122558594,0.016905005641090275,0.05376935005187988,0.0019995975718999364,,3,100,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.43068925122638124,-0.45699755527352454,-0.4207126969444954,-0.4361331678148004,0.015305225836418909,19
0.6432046095530192,0.0392072593815562,0.08753824234008789,0.004641650640224698,,3,200,"{'max_depth': None, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.42693507303071054,-0.45292120752192777,-0.42433393905980643,-0.4347300732041483,0.012906832823722214,17
0.1412825584411621,0.004308859346004602,0.046209096908569336,0.0020195722041893255,,5,50,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 50}",-0.4261082413771282,-0.45173196709052377,-0.41926280005016914,-0.43236766950594036,0.0139749068559433,15
0.32329344749450684,0.014604931796440386,0.07312250137329102,0.00523214904948899,,5,100,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 100}",-0.42358552147225864,-0.4535189421597306,-0.416335711822136,-0.43114672515137514,0.016094036274191058,12
0.6129836241404215,0.0012903908992126607,0.09721970558166504,0.0009610039261531649,,5,200,"{'max_depth': None, 'min_samples_leaf': 5, 'n_estimators': 200}",-0.42404273545646065,-0.4501588240852496,-0.41856572291396565,-0.4309224274852253,0.013784741134378296,10
0.16598963737487793,0.005685660693387448,0.04272317886352539,0.00583814910451526,5,1,50,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 50}",-0.4324688635918474,-0.4490844228775925,-0.41441917141560486,-0.43199081929501487,0.01415606606118638,14
0.2923070589701335,0.00692956281680908,0.05542302131652832,0.0011477919260600305,5,1,100,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 100}",-0.42842460385357073,-0.4465638561979079,-0.41568672604906304,-0.4302250620335139,0.01266966268428825,8
0.6046333312988281,0.0073164320939570725,0.08350888888041179,0.004520694893810771,5,1,200,"{'max_depth': 5, 'min_samples_leaf': 1, 'n_estimators': 200}",-0.42374505799090817,-0.4445412463731847,-0.414550239149406,-0.42761218117116634,0.012545413766064852,5
0.1505922476450602,0.009473744263068429,0.043714443842569985,0.0035355034009591107,5,3,50,"{'max_depth': 5, 'min_samples_leaf': 3, 'n_estimators': 50}",-0.4258730845864781,-0.4493376931866292,-0.4147427902553216,-0.42998452267614296,0.014419426007542941,7
0.3071279525756836,0.007981021109180524,0.057042837142944336,0.004920266974285728,5,3,100,"{'max_depth': 5, 'min_samples_leaf': 3, 'n_estimators': 100}",-0.4219259597804809,-0.44685742977473975,-0.4165122234219735,-0.42843187099239805,0.013214967465491612,6
0.6008163293202718,0.02149673101323487,0.08571577072143555,0.007036795312853943,5,3,200,"{'max_depth': 5, 'min_samples_leaf': 3, 'n_estimators': 200}",-0.4188483328072261,-0.44417341748675965,-0.4152347314268546,-0.4260854939069468,0.01287489192979676,1
